year,code,item,count
2013,item1,芭比主任遭批行為異常,2
2013,item10,NHK稱台灣原住民「人間動物園」,20
2013,item11,梁文音稱論同婚應被神救贖,13
2013,item12,溫泉遭疑歧視單身,2
2013,item13,GQ歧視網模,6
2013,item2,唐氏症患者遭麥當勞報警趕走,56
2013,item3,比基尼之夜遭批物化,4
2013,item4,相親歧視,1
2013,item5,北車開齋節圍紅龍,16
2013,item6,高檢批北車移工多,27
2013,item7,未亡人稱呼歧視,1
2013,item8,中正學生出櫃,22
2013,item9,郭采潔被稱反多元成家,26
2014,item14,陸生規範,14
2014,item15,解雇腦麻員工,2
2014,item16,戴勝益：好餐廳沒殘障廁所,1
2014,item17,台大情色坐墊YouTube,1
2014,item18,周威佑罵交大校長權力的妓女,8
2014,item19,高醫擅自幫同志病患驗愛滋,43
2014,item20,楊秋興嗆陳菊老太婆,88
2014,item21,天龍國與下港稱呼,29
2014,item22,柯文哲提酒吧女,12
2014,item23,柯文哲的性別歧視,36
2014,item24,星巴克支持同志遭抵制,9
2014,item25,道路吸菸,1
2014,item26,愛滋歧視,95
2015,item27,視障者牽導盲犬被禁入內,11
2015,item28,尼姑歧視,6
2015,item29,未婚是國安危機,33
2015,item30,楊丞琳稱「洗頭小妹」,9
2015,item31,謝和弦嗆炎亞綸,5
2015,item32,柯文哲：外配進口說,288
2015,item33,高雄親子餐廳推外籍幫傭餐,228
2015,item34,實測身障兒遭歧視,51
2015,item35,夏靖庭捐血遭拒,10
2015,item36,反廢死歧視,5
2015,item37,波多野結衣悠遊卡,496
2015,item38,聯合國拒台旅客,25
2015,item39,親民黨歧視蔡英文,356
2015,item40,嘉義女中校長歧視高職,35
2015,item41,林千又嗆飲料店員,32
2015,item42,國中生陸籍母親遭歧視,12
2015,item43,北捷保全罵外國人,81
2016,item44,大尾鱸鰻2遭批歧視原民,286
2016,item45,谷阿莫談丹麥女孩,16
2016,item46,藍領工人遭歧視,62
2016,item47,高鐵女性遭偷拍嫌胖,7
2016,item48,新華社笑蔡英文單身,28
2016,item49,母護同志兒,39
2016,item50,吳育昇酸小英「沒結婚」,38
2016,item51,超商店員遭歧視,5
2016,item52,洪素珠罵老榮民,215
2016,item53,觀光廣告歧視陸客,11
2016,item54,國防大學逼愛滋生退學,338
2016,item55,農夫兒遭老師歧視,10
2016,item56,旅館阻兩男住宿,3
2016,item57,夜市歧視,1
2016,item58,國慶歧視原民發言,71
2016,item59,李天柱：同性戀毀滅論,93
2016,item60,皮膚炎女童遭拒,42
2016,item61,拿衛生棉遭批沒水準,3
2016,item62,禁自閉童校外教學,1
2016,item63,同婚專法,2590
2016,item64,邱議瑩：番仔,114
2016,item65,基督教同婚,100
2016,item66,薛薛被當外籍移工,5
2016,item67,海倫清桃遭歧視,55
2016,item68,建中歧視：彩虹恐怖,44
2017,item69,警察罵426,10
2017,item70,請育嬰假被離職,4
2017,item71,早午餐店不請男性,13
2017,item72,服飾店分級給薪,1
2017,item73,義大利餐廳,68
2017,item74,聽障打工被惡意解雇,103
2017,item75,性侵沒抓到就合法爭議言論,12
2017,item76,癌末兒童,2
2017,item77,婚前反悔同志爸,1
2017,item78,懷孕後資遣,2
2017,item79,阮國非案,240
2017,item80,改裝車,2
2017,item81,前軍人面試被譏,20
2017,item82,老闆抱怨懷孕後離職,15
2018,item100,家境貧困被質疑偷錢,2
2018,item83,Twitch 直播主：台女EZ,268
2018,item84,女友作業員要求換工作,7
2018,item85,教育部成語：航母形容女性,304
2018,item86,女大生對工人歧視,86
2018,item87,孫安佐律師空歧視,38
2018,item88,玉兔被單親歧視,12
2018,item89,高鐵設站屏東縣府抗議,6
2018,item90,服飾店歧視,6
2018,item91,咖啡店禁12歲小孩,71
2018,item92,移工被檢舉吃狗誤會,8
2018,item93,館長批蔡英文,15
2018,item94,閨蜜嗆藍領男友,7
2018,item95,蔡易餘歧視陸配,712
2018,item96,丁守中單身失業男易隨機殺人,28
2018,item97,韓國瑜政見惹議,64
2018,item98,邱議瑩歧視女性,31
2018,item99,專法是歧視,1502
2019,item101,歧視工人,89
2019,item102,爸爸看不起燒肉店打工,2
2019,item103,工會要求禁用外籍機師,33
2019,item104,張瑞竹批蔡英文三八,36
2019,item105,韓國瑜提「瑪麗亞」,226
2019,item106,爸爸賣水果,1
2019,item107,世新爆霸凌,100
2019,item108,空服外貌歧視,5
2019,item109,新黨楊世光歧視,34
2019,item110,韓國瑜批政府協助越、印登革熱,19
2019,item111,韓國瑜：鳳去雞來,314
2019,item112,愛心午餐生遭老師歧視,5
2019,item113,韓：黑人需要蘭花嗎,1146
2019,item114,柯文哲：陳菊是比較胖的韓國瑜,177
2019,item115,林佳新遭質疑只有國中學歷,23
2019,item116,韓國瑜的性別爭議,47
2019,item117,吳敦義批衰尾查某,387
2019,item118,邱毅批鍾明軒,157
2020,item119,台商返台,153
2020,item120,陸生監測,65
2020,item121,陸配子女禁入境,1664
2020,item122,拒送便當,58
2020,item123,疫情的醫護歧視,1674
2020,item124,輪椅擺攤,11
2020,item125,譚德賽喊台灣歧視,2233
2020,item126,罵清潔隊,5
2020,item127,反骨抬棺,151
2020,item128,中原大學教授疑歧視陸生,361
2020,item129,艾力克斯兒陷歧視,49
2020,item130,陸配子女禁入境2,588
2020,item131,父進親子廁所,4
2020,item132,婚友男性限制,5
2020,item133,臺虎面試,52
2021,item134,男同志捐血,5
2021,item135,桃園人被歧視,200
2021,item136,雞排店被藥局助理歧視,12
2021,item137,萬華被歧視,456
2021,item138,外送員被歧視,27
2021,item139,劉寶傑酸焦糖哥哥,18
2021,item140,寫簡體被歧視,24
2021,item141,白牌車司機,6
2021,item142,幼稚園老師刺青,6
2021,item143,婚前被資遣,19
2021,item144,烏克蘭被貼開放標籤,120
2021,item145,賴士葆指長髮女是飯局妹,240
2022,item146,于北辰嗆顏寬恆歧視,1
2022,item147,楊寶楨張雅琴黃瀞瑩歧視,1737
2022,item148,陳斯亞反駁像小A辣,12
2022,item149,面試被要求減肥,52
2022,item150,跨性別應徵櫃姐,2
2022,item151,九天玄女醜化台語,132
2022,item152,染疫返職場,44
2022,item153,清潔工被男友媽歧視,2
2022,item154,台科大畢典致詞歧視,58
2022,item155,Cheap批機車族被歧視,293
2022,item156,誠徵洗碗歐巴喪遭罰,540
2022,item157,高雄警察列冊管理精神疾患,11
2022,item158,內湖里長槓陳時中,2
2022,item159,阮月嬌遭抗議歧視,108
2022,item160,廖老大資遣懷孕員工,203
2022,item161,高虹安學歷歧視,547
2022,item162,移工便當費僅40,44
2022,item163,柯文哲嗆智商太低,12
2022,item164,硬取英文名,9
2022,item165,陸禁輸入,66
2023,item166,神經元1.35爭議,22
2023,item167,好市多政策不一,21
2023,item168,一中園遊會,180
2023,item169,台大經濟系,4320
2023,item170,吃飯被偷拍身材歧視,1
2023,item171,火冒4.05丈,142
2023,item172,政治MeToo案件,2144
2023,item173,716遊行舉牌挨批,124
2023,item174,柯粉遭批「行走的避孕器」,7
2023,item175,柯批賴應徵美國外傭,17
2023,item176,民眾黨標語VoteWhite涉歧視,412
2023,item177,柯聘「空服應援」,96
2023,item178,頭城搶孤,14
2023,item179,教育部廣告,17
2023,item180,柯弱勢殺人說,232
2023,item181,柯弱勢殺人說,232
2023,item181,柯批「徐春鶯」被歧視,105
2023,item182,反引進印度移工,202
2023,item183,行人繪畫遭網紅批歧視,123
2024,item184,夜夜秀陳俊翰,832
